wds_identifier,wds_rownum
19181+4013KOI,116276.0
19181+3952KOI,116277.0
19181+3952KOI,116277.0
19181+3721ALI,116278.0
19181+3715TDT,116279.0
19181+1718BPM,116280.0
19181+0922FYM,116281.0
19181-0525ABH,116284.0
19181-0525HDS,116286.0
19181-0638DAM,116288.0
19181-0638DAM,116288.0
19181-2049ARA,116291.0
19182+4118KOI,116295.0
19182+2231COU,116298.0
19182-0636DAM,116299.0
19182-1219J,116300.0
19182-3823LWR,116303.0
19183+4642DEA,116307.0
19183+3821MLB,116309.0
19183+3654OSW,116310.0
19183+3654OSW,116310.0
19183+1450BPM,116311.0
19183-1550HU,116316.0
19183-1904ARA,116317.0
19183-1904ARA,116317.0
19183-5527FIN,116318.0
19184+4619KOI,116321.0
19184+3926KOI,116323.0
19184+2717TDT,116325.0
19184-1904RST,116330.0
19185+4733KOI,116332.0
19185+4457KOI,116333.0
19185+4457KOI,116333.0
19185+4457KOI,116333.0
19185+4156KOI,116335.0
19185+4156KOI,116335.0
19185+1625HEI,116336.0
19185+1625HEI,116336.0
19185-0100BAL,116341.0
19185-0640DAM,116342.0
19185-0640DAM,116342.0
19185-1322TDT,116343.0
19185-6455RST,116344.0
19185-6717TDT,116345.0
19186+5358A,116346.0
19186+5017KOI,116347.0
19186+5017KOI,116347.0
19186+4335KOI,116349.0
19187+5025KOI,116354.0
19187+4340DEA,116356.0
19187+4327KOI,116357.0
19187+4327KOI,116357.0
19187+4327KOI,116357.0
19187+4327KOI,116357.0
19187+4042KOI,116361.0
19187+3514WAL,116365.0
19187+2908TDT,116366.0
19187+0301GRV,116367.0
19188+5152KOI,116370.0
19188+4322KOI,116371.0
19188+4151KOI,116372.0
19188+4151KOI,116372.0
19188+3825KOI,116373.0
19188+2531TDT,116374.0
19188+1736HU,116376.0
19189+7648HDS,116383.0
19189+3917KOI,116390.0
19189+3336HU,116392.0
19189+3217TDT,116393.0
19189+2729TDT,116394.0
19189+1507BPM,116395.0
19189+1507BPM,116395.0
19189-1145TDT,116399.0
19189-2148UC,116400.0
19189-2814HDS,116401.0
19190+4439KOI,116403.0
19190+4158KOI,116405.0
19190+4158KOI,116405.0
19190+3821KOI,116411.0
19190+3744ALI,116412.0
19190+3727MIU,116413.0
19190-0030BAL,116414.0
19190-1532HJ,116416.0
19190-1654RST,116417.0
19190-3317I,116418.0
19190-3317I,116418.0
19190-3317TOK,116419.0
19190-3317TOK,116419.0
19191+6416MLR,116421.0
19191+4954KOI,116422.0
19191+3816KOI,116426.0
19191-2602B,116430.0
19192+4827KOI,116433.0
19192+4630KOI,116434.0
19192+3822KOI,116438.0
19192+3715ES,116440.0
19192+3133HJ,116441.0
19192+3133HJ,116441.0
19192+2847DOO,116442.0
19192+1519BPM,116446.0
19192+1229HEI,116447.0
19192+1229HEI,116447.0
19192+0401HJ,116448.0
19192-1047TDT,116449.0
19193+5133KOI,116453.0
19193+4206TDT,116456.0
19193+3917KOI,116457.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-0134CVN,116458.0
19193-4854I,116470.0
19194+4016KOI,116472.0
19194+3920KOI,116473.0
19194+3819KOI,116474.0
19194+3521ALI,116475.0
19194+1943STF,116476.0
19194+1943COU,116477.0
19194+1943COU,116477.0
19194+1514BPM,116478.0
19194+1514BPM,116478.0
19194-0136HDS,116480.0
19194-0136WOR,116481.0
19194-1058J,116482.0
19194-3757KOH,116483.0
19194-5521TDT,116484.0
19195+5733TDT,116485.0
19195+5729MLR,116486.0
19195+5729MLR,116486.0
19195+4644KOI,116487.0
19195+4644KOI,116487.0
19195+4618DEA,116488.0
19195+4154KOI,116489.0
19195+4154KOI,116489.0
19195+3502CVE,116490.0
19195+3502CVE,116490.0
19196+4035COU,116495.0
19196+3839KOI,116496.0
19196+3839KOI,116496.0
19196+3720CIA,116497.0
19196+3504POP,116499.0
19196+1535J,116501.0
19196-0424GWP,116502.0
19196-1242TDT,116503.0
19197+4645KOI,116505.0
19197+4331KOI,116510.0
19197+4330KOI,116511.0
19197+4330KOI,116511.0
19197+4157DEA,116513.0
19197+4133KOI,116514.0
19197+4050KOI,116515.0
19197+4006KOI,116517.0
19197+2221HJ,116519.0
19197-2836B,116523.0
19197-2836B,116523.0
19197-4049I,116526.0
19198+5039KOI,116529.0
19198+3828KOI,116530.0
19198+2455POU,116532.0
19198+0902J,116536.0
19198-2256UC,116539.0
